,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-30,74.419998,74.669998,73.459999,74.139999,ORCL,0,ddf5c410-2f3d-11ed-b659-e070ea36dd3d
1,2022-08-31,74.459999,75.150002,74.040001,74.150002,ORCL,0.64,ddf5c410-2f3d-11ed-b659-e070ea36dd3d
2,2022-09-01,74.120003,75.370003,73.529999,75.300003,ORCL,0.29,ddf5c410-2f3d-11ed-b659-e070ea36dd3d
3,2022-09-02,75.739998,76.769997,74.480003,74.68,ORCL,1.82,ddf5c410-2f3d-11ed-b659-e070ea36dd3d
4,2022-09-06,74.699997,75.190002,73.550003,73.830002,ORCL,-2.1,ddf5c410-2f3d-11ed-b659-e070ea36dd3d
5,2022-09-07,73.68,74.669998,73.419998,74.489998,ORCL,-0.7,ddf5c410-2f3d-11ed-b659-e070ea36dd3d
