,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-30,32.470001,32.91,30.530001,31.360001,SHOP,0,dc3c7f71-2f3d-11ed-8c0a-e070ea36dd3d
1,2022-08-31,31.98,33.349998,31.34,31.65,SHOP,1.32,dc3c7f71-2f3d-11ed-8c0a-e070ea36dd3d
2,2022-09-01,30.940001,31.360001,29.820999,31.27,SHOP,-6.35,dc3c7f71-2f3d-11ed-8c0a-e070ea36dd3d
3,2022-09-02,31.799999,31.99,29.860001,30.110001,SHOP,1.97,dc3c7f71-2f3d-11ed-8c0a-e070ea36dd3d
4,2022-09-06,30.15,30.360001,29.07,29.84,SHOP,-5.37,dc3c7f71-2f3d-11ed-8c0a-e070ea36dd3d
5,2022-09-07,29.959999,31.098,29.370001,30.98,SHOP,2.37,dc3c7f71-2f3d-11ed-8c0a-e070ea36dd3d
