,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-30,19.85,20.219999,19.299999,19.83,NIO,0,d9bb7200-2f3d-11ed-aff9-e070ea36dd3d
1,2022-08-31,20.110001,20.379999,19.280001,19.91,NIO,0.79,d9bb7200-2f3d-11ed-aff9-e070ea36dd3d
2,2022-09-01,19.280001,19.35,18.09,18.790001,NIO,-5.32,d9bb7200-2f3d-11ed-aff9-e070ea36dd3d
3,2022-09-02,18.43,18.65,17.709999,17.73,NIO,-3.75,d9bb7200-2f3d-11ed-aff9-e070ea36dd3d
4,2022-09-06,17.6,17.809999,17.09,17.110001,NIO,-4.72,d9bb7200-2f3d-11ed-aff9-e070ea36dd3d
5,2022-09-07,16.540001,18.370001,16.540001,17.48,NIO,3.05,d9bb7200-2f3d-11ed-aff9-e070ea36dd3d
