,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-30,162.130005,162.559998,157.720001,158.910004,AAPL,0,d788ec0c-2f3d-11ed-a2d1-e070ea36dd3d
1,2022-08-31,160.309998,160.580002,157.139999,157.220001,AAPL,-1.23,d788ec0c-2f3d-11ed-a2d1-e070ea36dd3d
2,2022-09-01,156.639999,158.419998,154.669998,157.960007,AAPL,-1.36,d788ec0c-2f3d-11ed-a2d1-e070ea36dd3d
3,2022-09-02,159.75,160.360001,154.970001,155.809998,AAPL,1.21,d788ec0c-2f3d-11ed-a2d1-e070ea36dd3d
4,2022-09-06,156.470001,157.089996,153.690002,154.529999,AAPL,-2.08,d788ec0c-2f3d-11ed-a2d1-e070ea36dd3d
5,2022-09-07,154.820007,156.669998,153.610001,155.960007,AAPL,-0.27,d788ec0c-2f3d-11ed-a2d1-e070ea36dd3d
