,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-08-30,3.6,3.6,3.28,3.48,AZ,0,dda566b6-2f3d-11ed-abe7-e070ea36dd3d
1,2022-08-31,3.2,3.73,3.2,3.68,AZ,3.49,dda566b6-2f3d-11ed-abe7-e070ea36dd3d
2,2022-09-01,3.65,3.65,3.29,3.3,AZ,-2.19,dda566b6-2f3d-11ed-abe7-e070ea36dd3d
3,2022-09-02,3.3,3.52,3.3,3.52,AZ,-3.69,dda566b6-2f3d-11ed-abe7-e070ea36dd3d
4,2022-09-06,3.38,3.38,3.06,3.3,AZ,-4.14,dda566b6-2f3d-11ed-abe7-e070ea36dd3d
5,2022-09-07,3.32,3.37,3.12,3.24,AZ,-0.3,dda566b6-2f3d-11ed-abe7-e070ea36dd3d
